agency_code_suffix,agency_name,status,note,source_standard
3160,人事部,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
3170,劳动部,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
3171,劳动和社会保障部,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
3180,中华人民共和国财政部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3190,中华人民共和国审计署,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3200,中国人民银行,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3210,商业部,—,出自 GB/T4657—2021 表 B.9,GB/T 47277—2026 附录B表B.1
3211,国内贸易部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3220,对外经济贸易部,—,出自 GB/T4657—2021 表 B.9,GB/T 47277—2026 附录B表B.1
3221,对外贸易经济合作部,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
3240,物资部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3260,农业部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3270,林业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3280,机械电子工业部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3290,航空航天工业部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3300,电力工业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3310,能源部,—,出自 GB/T4657—2021 表 B.4,GB/T 47277—2026 附录B表B.1
3320,水利电力部,—,出自 GB/T4657—2021 表 B.10,GB/T 47277—2026 附录B表B.1
3321,中华人民共和国水利部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3330,城乡建设环境保护部,—,出自 GB/T4657—2021 表 B.10,GB/T 47277—2026 附录B表B.1
3331,建设部,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
3332,中华人民共和国住房和城乡建设部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3340,地质矿产部,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
3341,国土资源部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3350,冶金工业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3360,机械工业部,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3370,核工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3380,航空工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3390,电子工业部,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3391,信息产业部,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
